run_id,mall_id,name,confidence_level,center_lon,center_lat,center_source,image_path,image_status,pv_status,pv_confidence,pv_area_px,pv_area_m2_est,pv_coverage,component_count,mask_path,overlay_path,reason,review_required,review_status,error,method
20260713_shanghai_A_bdappv_singlemap_v2,36,上海南翔印象城MEGA,A,121.30116565,31.30695218,official_poi_auto,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\mall_self_crops\mall_36_self_z18.jpg,ok,no_clear_pv,0.6867,0,0.0,0.0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_masks\mall_36_self_z18_mask.png,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_overlays\mall_36_self_z18_overlay.jpg,"derived from the center 1024px of one full-map BDAPPV mask; bdappv_score=0.686684; status=possible_pv; best_window=2496,624,2896,1024; segmentation_pixels=0; coverage=0.0000%; components=0; raw_components=2; rejected_below_500px=2",1,pending,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,42,上海真如环宇城MAX,A,121.40468423,31.25202127,manual_review,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\mall_self_crops\mall_42_self_z18.jpg,ok,no_clear_pv,0.4108,0,0.0,0.0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_masks\mall_42_self_z18_mask.png,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_overlays\mall_42_self_z18_overlay.jpg,"derived from the center 1024px of one full-map BDAPPV mask; bdappv_score=0.410755; status=no_clear_pv; best_window=3432,2808,3832,3208; segmentation_pixels=0; coverage=0.0000%; components=0; raw_components=0; rejected_below_500px=0",1,pending,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,52,上海环球港,A,121.40781458,31.23464669,official_poi_auto,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\mall_self_crops\mall_52_self_z18.jpg,ok,no_clear_pv,0.4112,0,0.0,0.0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_masks\mall_52_self_z18_mask.png,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_overlays\mall_52_self_z18_overlay.jpg,"derived from the center 1024px of one full-map BDAPPV mask; bdappv_score=0.411211; status=no_clear_pv; best_window=1248,1248,1648,1648; segmentation_pixels=0; coverage=0.0000%; components=0; raw_components=0; rejected_below_500px=0",1,pending,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,74,上海仲盛世界商城,A,121.38260598,31.10907571,official_poi_auto,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\mall_self_crops\mall_74_self_z18.jpg,ok,no_clear_pv,0.2676,0,0.0,0.0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_masks\mall_74_self_z18_mask.png,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_overlays\mall_74_self_z18_overlay.jpg,"derived from the center 1024px of one full-map BDAPPV mask; bdappv_score=0.267596; status=no_clear_pv; best_window=936,936,1336,1336; segmentation_pixels=0; coverage=0.0000%; components=0; raw_components=0; rejected_below_500px=0",1,pending,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,75,上海世博源,A,121.48818542,31.18528835,official_poi_auto,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\mall_self_crops\mall_75_self_z18.jpg,ok,no_clear_pv,0.9246,0,0.0,0.0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_masks\mall_75_self_z18_mask.png,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_overlays\mall_75_self_z18_overlay.jpg,"derived from the center 1024px of one full-map BDAPPV mask; bdappv_score=0.924618; status=likely_pv; best_window=312,1560,712,1960; segmentation_pixels=847; coverage=0.0055%; components=1; raw_components=14; rejected_below_500px=13",1,pending,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,131,上海青浦万达茂,A,121.07821239,31.13530866,manual_review,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\mall_self_crops\mall_131_self_z18.jpg,ok,no_clear_pv,0.9246,0,0.0,0.0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_masks\mall_131_self_z18_mask.png,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_overlays\mall_131_self_z18_overlay.jpg,"derived from the center 1024px of one full-map BDAPPV mask; bdappv_score=0.924595; status=possible_pv; best_window=3432,312,3832,712; segmentation_pixels=0; coverage=0.0000%; components=0; raw_components=4; rejected_below_500px=4",1,pending,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,135,上海正大广场,A,121.49504338,31.23887719,official_poi_auto,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\mall_self_crops\mall_135_self_z18.jpg,ok,no_clear_pv,0.2067,0,0.0,0.0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_masks\mall_135_self_z18_mask.png,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_overlays\mall_135_self_z18_overlay.jpg,"derived from the center 1024px of one full-map BDAPPV mask; bdappv_score=0.206711; status=no_clear_pv; best_window=936,3518,1336,3918; segmentation_pixels=0; coverage=0.0000%; components=0; raw_components=0; rejected_below_500px=0",1,pending,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,142,上海万象城,A,121.36449682,31.17228125,official_poi_auto,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\mall_self_crops\mall_142_self_z18.jpg,ok,no_clear_pv,0.4249,0,0.0,0.0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_masks\mall_142_self_z18_mask.png,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_overlays\mall_142_self_z18_overlay.jpg,"derived from the center 1024px of one full-map BDAPPV mask; bdappv_score=0.424870; status=no_clear_pv; best_window=1248,936,1648,1336; segmentation_pixels=0; coverage=0.0000%; components=0; raw_components=0; rejected_below_500px=0",1,pending,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,155,上海爱琴海购物中心,A,121.36836341,31.17698686,official_poi_auto,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\mall_self_crops\mall_155_self_z18.jpg,ok,no_clear_pv,0.883,0,0.0,0.0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_masks\mall_155_self_z18_mask.png,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_overlays\mall_155_self_z18_overlay.jpg,"derived from the center 1024px of one full-map BDAPPV mask; bdappv_score=0.883026; status=likely_pv; best_window=3515,3120,3915,3520; segmentation_pixels=5149; coverage=0.0336%; components=1; raw_components=8; rejected_below_500px=7",1,pending,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,157,上海七宝万科广场,A,121.34600444,31.15652967,official_poi_auto,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\mall_self_crops\mall_157_self_z18.jpg,ok,no_clear_pv,0.579,0,0.0,0.0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_masks\mall_157_self_z18_mask.png,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_overlays\mall_157_self_z18_overlay.jpg,"derived from the center 1024px of one full-map BDAPPV mask; bdappv_score=0.579020; status=possible_pv; best_window=2184,3120,2584,3520; segmentation_pixels=0; coverage=0.0000%; components=0; raw_components=3; rejected_below_500px=3",1,pending,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,210,上海聚峰中心,A,121.58531505,31.28351678,manual_review,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\mall_self_crops\mall_210_self_z18.jpg,ok,no_clear_pv,0.6761,0,0.0,0.0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_masks\mall_210_self_z18_mask.png,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_overlays\mall_210_self_z18_overlay.jpg,"derived from the center 1024px of one full-map BDAPPV mask; bdappv_score=0.676080; status=possible_pv; best_window=1248,1248,1648,1648; segmentation_pixels=0; coverage=0.0000%; components=0; raw_components=4; rejected_below_500px=4",1,pending,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,211,上海龙之梦城市生活中心,A,121.41192238,31.22085608,official_poi_auto,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\mall_self_crops\mall_211_self_z18.jpg,ok,no_clear_pv,0.3651,0,0.0,0.0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_masks\mall_211_self_z18_mask.png,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_overlays\mall_211_self_z18_overlay.jpg,"derived from the center 1024px of one full-map BDAPPV mask; bdappv_score=0.365116; status=no_clear_pv; best_window=312,624,712,1024; segmentation_pixels=0; coverage=0.0000%; components=0; raw_components=0; rejected_below_500px=0",1,pending,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,218,上海江桥万达广场,A,121.31901988,31.24181784,official_poi_auto,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\mall_self_crops\mall_218_self_z18.jpg,ok,no_clear_pv,0.5399,0,0.0,0.0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_masks\mall_218_self_z18_mask.png,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\pv_overlays\mall_218_self_z18_overlay.jpg,"derived from the center 1024px of one full-map BDAPPV mask; bdappv_score=0.539873; status=possible_pv; best_window=312,936,712,1336; segmentation_pixels=690; coverage=0.0045%; components=1; raw_components=1; rejected_below_500px=0",1,pending,,bdappv_google
