run_id,tile_id,mall_id,name,tile_center_lon,tile_center_lat,offset_x_m,offset_y_m,distance_to_center_m,image_path,image_status,roof_score,roof_candidate_count,roof_area_px,roof_area_m2_est,pv_status,pv_confidence,pv_area_m2_est,roof_overlay_path,pv_overlay_path,error,method
20260713_shanghai_A_bdappv_singlemap_v2,mall_36_full_1000m,36,上海南翔印象城MEGA,121.30116565,31.30695218,0,0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_1km_raw\mall_36_full_1000m_z18.jpg,ok,1.0,5,220373,57367.28,no_clear_pv,0.6867,0.0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_roof_overlays\mall_36_full_1000m_z18_roof_overlay.jpg,,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,mall_42_full_1000m,42,上海真如环宇城MAX,121.40468423,31.25202127,0,0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_1km_raw\mall_42_full_1000m_z18.jpg,ok,1.0,19,1318169,343544.38,no_clear_pv,0.4108,0.0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_roof_overlays\mall_42_full_1000m_z18_roof_overlay.jpg,,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,mall_52_full_1000m,52,上海环球港,121.40781458,31.23464669,0,0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_1km_raw\mall_52_full_1000m_z18.jpg,ok,1.0,11,495779,129258.66,no_clear_pv,0.4112,0.0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_roof_overlays\mall_52_full_1000m_z18_roof_overlay.jpg,,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,mall_74_full_1000m,74,上海仲盛世界商城,121.38260598,31.10907571,0,0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_1km_raw\mall_74_full_1000m_z18.jpg,ok,0.9831,5,109415,28602.24,no_clear_pv,0.2676,0.0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_roof_overlays\mall_74_full_1000m_z18_roof_overlay.jpg,,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,mall_75_full_1000m,75,上海世博源,121.48818542,31.18528835,0,0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_1km_raw\mall_75_full_1000m_z18.jpg,ok,0.3617,1,42997,11221.81,likely_pv,0.9246,221.06,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_roof_overlays\mall_75_full_1000m_z18_roof_overlay.jpg,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_pv_overlays\mall_75_full_1000m_z18_pv_overlay.jpg,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,mall_131_full_1000m,131,上海青浦万达茂,121.07821239,31.13530866,0,0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_1km_raw\mall_131_full_1000m_z18.jpg,ok,1.0,5,172857,45161.67,no_clear_pv,0.9246,0.0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_roof_overlays\mall_131_full_1000m_z18_roof_overlay.jpg,,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,mall_135_full_1000m,135,上海正大广场,121.49504338,31.23887719,0,0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_1km_raw\mall_135_full_1000m_z18.jpg,ok,1.0,11,439397,114548.59,no_clear_pv,0.2067,0.0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_roof_overlays\mall_135_full_1000m_z18_roof_overlay.jpg,,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,mall_142_full_1000m,142,上海万象城,121.36449682,31.17228125,0,0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_1km_raw\mall_142_full_1000m_z18.jpg,ok,1.0,8,1338263,349370.05,no_clear_pv,0.4249,0.0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_roof_overlays\mall_142_full_1000m_z18_roof_overlay.jpg,,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,mall_155_full_1000m,155,上海爱琴海购物中心,121.36836341,31.17698686,0,0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_1km_raw\mall_155_full_1000m_z18.jpg,ok,1.0,9,968281,252756.57,likely_pv,0.883,1344.08,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_roof_overlays\mall_155_full_1000m_z18_roof_overlay.jpg,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_pv_overlays\mall_155_full_1000m_z18_pv_overlay.jpg,,bdappv_google
20260713_shanghai_A_bdappv_singlemap_v2,mall_157_full_1000m,157,上海七宝万科广场,121.34600444,31.15652967,0,0,0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_1km_raw\mall_157_full_1000m_z18.jpg,ok,1.0,8,451948,118025.83,no_clear_pv,0.579,0.0,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\full_roof_overlays\mall_157_full_1000m_z18_roof_overlay.jpg,,,bdappv_google
