run_id,mall_id,name,center_lon,center_lat,buffer_radius_m,tile_count,downloaded_tile_count,roof_candidate_tile_count,roof_candidate_count,roof_area_m2_est,existing_pv_tile_count,existing_pv_area_m2_est,install_condition_score,install_condition_level,review_required,review_status,evidence_dir,review_mosaic_path,method,notes,image_status,error
20260713_shanghai_A_bdappv_singlemap_v2,588,上海静安大悦城,121.46753883,31.24558780,1000,1,1,1,18,251535.94,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_588_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,599,上海崇明万达广场（A馆）,121.41323347,31.62789005,1000,1,1,1,10,193760.4,1,150.99,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_599_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,624,上海周浦万达广场,121.56545586,31.11670106,1000,1,1,1,4,41684.63,1,511.5,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_624_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,645,上海TODTOWN天荟,121.38237709,31.11174119,1000,1,1,1,5,41943.32,1,256.95,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_645_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,714,上海松江印象城一期,121.21817699,31.06364310,1000,1,1,1,23,487709.26,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_714_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,761,上海中庚漫游城,121.39284583,31.13294840,1000,1,1,1,8,102969.04,1,266.77,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_761_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,772,上海元祖梦世界,121.22162412,31.15037156,1000,1,1,1,16,702518.25,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_772_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,782,上海七宝宝龙城,121.35021516,31.16070768,1000,1,1,1,4,44235.81,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_782_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,790,上海东渡蛙城,121.07701487,31.13688668,1000,1,1,1,5,328987.58,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_790_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,837,上海荟聚,121.35211062,31.22344032,1000,1,1,1,10,168499.45,1,361.7,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_837_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
