run_id,mall_id,name,center_lon,center_lat,buffer_radius_m,tile_count,downloaded_tile_count,roof_candidate_tile_count,roof_candidate_count,roof_area_m2_est,existing_pv_tile_count,existing_pv_area_m2_est,install_condition_score,install_condition_level,review_required,review_status,evidence_dir,method,notes
20260713_shanghai_A_bdappv_v1,36,上海南翔印象城MEGA,121.30116565,31.30695218,1000,13,13,13,176,201937.87,1,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_v1,roof_heuristic_v0+pv_bdappv_google,PV uses BDAPPV model inference; roof potential uses an OpenCV heuristic; manual review required
20260713_shanghai_A_bdappv_v1,42,上海真如环宇城MAX,121.40468423,31.25202127,1000,13,13,13,181,266922.2,1,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_v1,roof_heuristic_v0+pv_bdappv_google,PV uses BDAPPV model inference; roof potential uses an OpenCV heuristic; manual review required
20260713_shanghai_A_bdappv_v1,52,上海环球港,121.40781458,31.23464669,1000,13,13,13,209,360027.45,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_v1,roof_heuristic_v0+pv_bdappv_google,PV uses BDAPPV model inference; roof potential uses an OpenCV heuristic; manual review required
20260713_shanghai_A_bdappv_v1,74,上海仲盛世界商城,121.38260598,31.10907571,1000,13,13,13,209,198516.83,1,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_v1,roof_heuristic_v0+pv_bdappv_google,PV uses BDAPPV model inference; roof potential uses an OpenCV heuristic; manual review required
20260713_shanghai_A_bdappv_v1,75,上海世博源,121.48818542,31.18528835,1000,13,13,11,101,180256.93,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_v1,roof_heuristic_v0+pv_bdappv_google,PV uses BDAPPV model inference; roof potential uses an OpenCV heuristic; manual review required
20260713_shanghai_A_bdappv_v1,131,上海青浦万达茂,121.07821239,31.13530866,1000,13,13,12,92,104823.89,1,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_v1,roof_heuristic_v0+pv_bdappv_google,PV uses BDAPPV model inference; roof potential uses an OpenCV heuristic; manual review required
20260713_shanghai_A_bdappv_v1,135,上海正大广场,121.49504338,31.23887719,1000,13,13,12,123,157581.9,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_v1,roof_heuristic_v0+pv_bdappv_google,PV uses BDAPPV model inference; roof potential uses an OpenCV heuristic; manual review required
20260713_shanghai_A_bdappv_v1,142,上海万象城,121.36449682,31.17228125,1000,13,13,13,221,288679.88,2,436.81,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_v1,roof_heuristic_v0+pv_bdappv_google,PV uses BDAPPV model inference; roof potential uses an OpenCV heuristic; manual review required
20260713_shanghai_A_bdappv_v1,155,上海爱琴海购物中心,121.36836341,31.17698686,1000,13,13,13,230,297550.96,3,288.21,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_v1,roof_heuristic_v0+pv_bdappv_google,PV uses BDAPPV model inference; roof potential uses an OpenCV heuristic; manual review required
20260713_shanghai_A_bdappv_v1,157,上海七宝万科广场,121.34600444,31.15652967,1000,13,13,13,222,213826.51,1,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_v1,roof_heuristic_v0+pv_bdappv_google,PV uses BDAPPV model inference; roof potential uses an OpenCV heuristic; manual review required
20260713_shanghai_A_bdappv_v1,210,上海聚峰中心,121.58531505,31.28351678,1000,13,13,13,233,229685.05,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_v1,roof_heuristic_v0+pv_bdappv_google,PV uses BDAPPV model inference; roof potential uses an OpenCV heuristic; manual review required
