mall_id,name,confidence_level,identity_status,selected_poi_name,selected_address,selected_poi_type,selected_lon_wgs84,selected_lat_wgs84,official_coord_evidence,identity_reasons,suspicious_reason
6000,金华浦江人民广场商厦,C,manual_review,浦江人民广场,浦阳街道和平北路77号,购物服务;商场;购物中心,119.88553176,29.46126885,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6066,瑞安宏地未来城,C,manual_review,易购超市,浙江省温州市瑞安市汀田街道镇中路宏地·未来城,购物:超市,120.70420513,27.7965588,weak_or_disputed,name_match_medium|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6078,丽水景宁东方广场,C,manual_review,景宁祥源商贸城,,购物服务;商场;商场,119.63278383,27.99555631,weak_or_disputed,name_match_weak|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6106,宁波荣安星光大道,C,manual_review,荣安•星光大道(广场),天童南路与句章东路交叉口东北200米,购物服务;商场;普通商场,121.54366027,29.7990458,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6115,金华和悦邻里中心,C,manual_review,金开·和悦邻里,苏孟乡后山路169号,购物服务;商场;商场,119.66290722,29.0591239,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6138,杭州莱蒙商业中心,C,manual_review,莱蒙商业中心,浙江省杭州市临平区藕花洲大街303号,购物:综合商场:购物中心,120.29385966,30.41729449,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6148,绍兴首越·和天地商业中心,C,manual_review,和天地商业中心,浙江省绍兴市柯桥区华舍街道育才路群贤府御园旁,购物:综合商场:购物中心,120.49272967,30.11032287,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6160,杭州星光城,C,manual_review,星光城W500,浙江省杭州市西湖区文三路500号,购物:综合商场,120.11566983,30.27967487,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6163,杭州嘉凯城（塘栖）城市客厅,C,manual_review,嘉凯城城市客厅,市场路与桐千路交叉口南100米,购物服务;商场;普通商场,119.61413765,29.84382282,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6170,杭州桐庐利时广场,C,manual_review,桐庐利时广场,迎春南路666号,购物服务;商场;购物中心,119.68083712,29.80193528,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6189,嘉兴乐活秀MALL,C,manual_review,乐活广场,浙江省嘉兴市海宁市海宁大道与江南大道交叉口东南角,购物:综合商场:购物中心,120.67197741,30.49439971,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6193,温州奥玛尔国际购物中心,C,manual_review,海滨奥玛尔国际购物中心东南,浙江省温州市龙湾区永强路与海宁路交叉口正西方向240米左右,购物:其它购物,120.83019183,27.91928705,weak_or_disputed,name_match_medium|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6228,绍兴万安·煦途广场,C,manual_review,万安·煦途城市生活广场,店口镇万安北路,购物服务;商场;普通商场,120.34339281,29.93858116,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6233,宁波1872招商花园坊,C,manual_review,1872·花园坊,湾头路460号,购物服务;商场;购物中心,121.54947013,29.90611236,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6305,台州台运靖江中心,C,manual_review,台运靖江中心,靖江社区柏叶西路123号,商务住宅;楼宇;商务写字楼|购物服务;购物相关场所;购物相关场所,121.1383016,28.85337215,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6356,温州美美时尚广场,C,manual_review,美美时尚广场,浙江省温州市鹿城区鹿城路42号,购物:综合商场:购物中心,120.64095324,28.01366448,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6382,杭州万科杭行荟Mo-Mall,C,manual_review,杭行荟Mo-Mall,浙江省杭州市余杭区祥运路与上祥路交叉口西南角,购物:综合商场,120.11292766,30.34014716,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6397,杭州苕溪时代生活广场,C,manual_review,苕溪·时代生活广场,苕溪北街1166号,购物服务;商场;普通商场,119.68747022,30.23655561,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6408,台州星悦·西城广场,C,manual_review,星悦·西城广场,西区大道103号,购物服务;商场;普通商场,121.35582879,29.11563389,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6460,台州玉环印象广场,C,manual_review,深蓝汽车台州玉环印象广场店,浙江省台州市玉环市方林汽车城B区15号,汽车:汽车销售,121.22883126,28.21424885,single_provider_strong,name_match_strong|single_provider_strong|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6484,杭州朝龙汇D+PARK,C,manual_review,朝龙汇D+PARK,民和路886号(钱江世纪城地铁站E2口步行80米),购物服务;商场;购物中心,120.23951494,30.24198831,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6498,杭州303生活广场,C,manual_review,303生活广场,厚仁路313号,购物服务;商场;购物中心,120.07322181,30.33546303,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6515,绍兴诸暨奥特莱斯,C,manual_review,中意奥特莱斯,浙江省绍兴市柯桥区马鞍街道园驾桥东路,购物:综合商场:购物中心,120.59305602,30.14326287,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6573,绍兴星潮广场,C,manual_review,星潮广场,浙江省绍兴市越城区马山街道群贤路与越安北路交叉口,购物:综合商场:购物中心,120.63612212,30.0630206,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6576,舟山百悦生活广场,C,manual_review,百悦生活广场,定海解放西路106号,购物服务;商场;普通商场,122.0992065,30.01818505,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6601,衢州国金中心,C,manual_review,国金中心,南街2号,购物服务;商场;商场,118.86680579,28.96246956,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6658,杭州和达城,C,manual_review,文泽和达城,2号大街与5号大街交界处西南方,购物服务;商场;商场,120.34316432,30.31147622,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6665,绍兴金科时代潮城,C,manual_review,时代潮城,浙江省绍兴市上虞区市民大道621号,购物:综合商场,120.87034415,30.03628478,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6759,杭州领航汇,C,manual_review,领航汇,建设四路与博奥路交叉口东南120米,购物服务;商场;商场,120.23980964,30.21265126,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6771,绍兴上虞舜杰广场,C,manual_review,绍兴上虞时代广场,市民大道621号,购物服务;商场;普通商场,120.87248648,30.036768,weak_or_disputed,name_match_weak|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6823,杭州余杭七彩汇商业中心,C,manual_review,七彩汇商业中心,闲林街道闲富中路57号,购物服务;商场;购物中心,119.97996379,30.23301629,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6825,杭州德信空港城,C,manual_review,德信空港城,三新线新港村区域内(杭州地铁7号线新港站B口),商务住宅;楼宇;商住两用楼宇,120.40654799,30.22407952,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6863,台州温岭岭商天玺中心,C,manual_review,天玺电子烟,浙江省台州市温岭市岭商国际广场东100米(育英西路南商场内肯德基旁),购物:其它购物,121.59203662,28.35051075,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6869,绍兴蓝印滨海万达广场,C,manual_review,蓝印滨海万达销售招商中心,万达广场(绍兴滨海店),生活服务;生活服务场所;生活服务场所,120.70408918,30.22123004,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6872,杭州临安印象综合体,C,manual_review,杭州金沙印象城,浙江省杭州市钱塘区金沙大道97号,购物:综合商场:购物中心,120.3317652,30.31078824,weak_or_disputed,name_match_weak|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6875,台州天台文化中心宝龙天地,C,manual_review,天台文化中心岭商广场,天台山中路458号,购物服务;商场;购物中心,121.00236602,29.13808587,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6887,宁波亿彩购物中心,C,manual_review,亿彩购物中心,浙江省宁波市海曙区江厦街道药行街42号,购物:综合商场:购物中心,121.55267026,29.87024814,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6897,杭州水云和达城,C,manual_review,水云和达城,浙江省杭州市钱塘区下沙街道水云街255号,购物:综合商场,120.38542107,30.33156044,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6963,湖州德清八角井生活广场,C,manual_review,嘉豪·八角井生活广场,浙江省湖州市德清县春晖街80号,购物:综合商场:购物中心,119.95814896,30.54689754,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6967,杭州铂澜大象城,C,manual_review,铂澜大象城,文一路294号5楼508,购物服务;商场;购物中心|购物服务;商场;普通商场,120.11961063,30.29094751,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
7005,杭州建德恒太城,C,manual_review,建德恒太城,严东关路新南北盛德国际广场4幢,购物服务;商场;普通商场,119.27216842,29.47364907,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
7073,杭州星耀城二期城市生活广场,C,manual_review,星耀城二期城市生活广场,江陵路1916号(江陵路地铁站A口步行130米),购物服务;商场;商场,120.21195153,30.21402162,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
7077,杭州万科姑娘桥TOD项目,C,manual_review,万科tod广场,杭行路与祥运路交叉口东南80米,购物服务;商场;购物中心,120.11228451,30.34033463,weak_or_disputed,name_match_weak|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
7079,杭州绿城之江一号ONE,C,manual_review,睦邻社·之江艺墅荟,浙江省杭州市西湖区横桥路98号,购物:综合商场,120.06627868,30.16530833,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
7084,宁波吉利·吉好,C,manual_review,吉利·吉好商业广场,浙江省宁波市慈溪市杭州湾李宁体育园西南(海沧路),购物:综合商场,121.22802372,30.32069634,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
7091,龙湖杭州滨江天街II期,C,manual_review,龙湖杭州滨江天街,浙江省杭州市滨江区江汉路1515号(江汉路地铁站D口旁),购物:综合商场:购物中心,120.19955656,30.20324764,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
