mall_id,name,city,address,lat,lon
36,上海南翔印象城MEGA,上海市,上海市嘉定区陈翔公路2299号,31.30695218,121.30116565
52,上海环球港,上海市,上海市普陀区中山北路3300号,31.23464669,121.40781458
1868,上海虹桥天地,上海市,上海市闵行区申长路688号,31.19490123,121.31066958
