mall_id,name,province,city,confidence_level,center_lon,center_lat,center_source,reviewer,reason,final_polygon_geojson,review_round,reviewed_at,selected_provider,selected_poi_name,official_coord_evidence
7954,上海金桥印象城,上海市,上海市,A,121.27316184,31.21783188,manual_review,admin,,,1,2026-07-13 07:59:45,amap,上海虹桥前湾印象城MEGA,weak_or_disputed
7955,上海闵行丰树商业,上海市,上海市,A,121.35630974,31.13138875,manual_review,admin,,,1,2026-07-13 08:00:20,amap,上海丰树商业城,multi_provider_agree
7956,上海闵行天悦汇,上海市,上海市,A,121.5229436,31.07584983,manual_review,admin,,,1,2026-07-13 08:01:09,tencent,天谱乐食食品(上海)有限公司,weak_or_disputed
7957,上海闵行爱琴海购物公园,上海市,上海市,A,121.36678357,31.17713454,official_poi_auto,,,,,,amap,闵行爱琴海店,multi_provider_agree
7958,上海闵行龙湖天街,上海市,上海市,A,121.41092279,31.02789097,official_poi_auto,,,,,,tencent,猛士上海闵行龙湖天街直营店,multi_provider_agree
7980,南京仙林德基广场,江苏省,南京市,A,118.7797014,32.04613267,manual_review,admin,,,2,2026-07-20 01:27:21,amap,南京德基广场,weak_or_disputed
7981,南京栖霞万象汇,江苏省,南京市,A,118.82994386,32.1229473,manual_review,admin,,,2,2026-07-20 01:27:37,amap,南京城北万象汇,weak_or_disputed
7982,南京江宁龙湖天街,江苏省,南京市,A,118.8382486,31.94037294,manual_review,admin,,,2,2026-07-20 01:29:00,amap,龙湖南京龙湾天街,weak_or_disputed
7983,南京雨花万象汇,江苏省,南京市,A,118.6882012,31.94591168,manual_review,admin,,,2,2026-07-20 01:29:08,amap,安居万象汇,weak_or_disputed
7990,台州椒江万达广场,浙江省,台州市,A,121.41267611,28.63950465,manual_review,admin,,,2,2026-07-17 09:48:10,tencent,台州经开万达广场,multi_provider_agree
8005,嘉兴南湖万达广场,浙江省,嘉兴市,A,120.79842102,30.7382171,manual_review,admin,,,2,2026-07-17 09:48:55,tencent,嘉兴南湖万达广场,single_provider_strong
8019,宁波东部新城印象城,浙江省,宁波市,A,121.56231921,29.83565898,manual_review,admin,,,2,2026-07-17 09:49:23,amap,宁波鄞州印象城,multi_provider_agree
8020,宁波余姚五彩城,浙江省,宁波市,A,121.17558985,30.06984288,official_poi_auto,,,,,,tencent,极氪空间(宁波余姚五彩城),multi_provider_agree
8021,宁波慈溪万达广场,浙江省,宁波市,A,121.19677799,30.31686527,manual_review,admin,,,2,2026-07-17 09:49:29,tencent,宁波海泉湾PLUS购物中心,weak_or_disputed
8042,无锡经开万达广场,江苏省,无锡市,A,120.2952493,31.6772425,manual_review,admin,,,2,2026-07-20 01:30:12,amap,万达百货(吴韵路),weak_or_disputed
8043,无锡锡山万达广场,江苏省,无锡市,A,120.36191301,31.61965164,manual_review,admin,,,2,2026-07-20 01:31:41,amap,万马商业广场,weak_or_disputed
8050,杭州临平万达广场,浙江省,杭州市,A,120.27983912,30.43475832,official_poi_auto,,,,,,tencent,杭州临平万达广场,multi_provider_agree
8051,杭州城西万象城,浙江省,杭州市,A,120.21098816,30.25418673,manual_review,admin,,,2,2026-07-17 09:49:46,tencent,杭州万象城,multi_provider_agree
8052,杭州良渚万象汇,浙江省,杭州市,A,120.21309115,30.29645712,manual_review,admin,,,2,2026-07-17 09:50:07,tencent,杭州东站万象汇,multi_provider_agree
8053,杭州萧山印象城,浙江省,杭州市,A,120.24825433,30.22581184,manual_review,admin,,,2,2026-07-17 09:50:50,amap,印力汇德隆杭州奥体印象城,multi_provider_agree
8054,杭州西溪印象城二期,浙江省,杭州市,A,120.04538801,30.24987826,official_poi_auto,,,,,,amap,杭州西溪印象城,multi_provider_agree
