mall_id,name,province,city,confidence_level,identity_status,selected_poi_name,selected_address,selected_poi_type,selected_lon_wgs84,selected_lat_wgs84,official_coord_evidence,identity_reasons,suspicious_reason
5610,太仓港城邻里中心,江苏省,苏州市,C,manual_review,港城邻里中心,江苏省苏州市太仓市浮桥镇龙江路288号,购物:综合商场:购物中心,121.20759815,31.61816772,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5620,金华横店缤纷城,浙江省,金华市,C,manual_review,横店缤纷城,浙江省金华市东阳市康庄南街168号,购物:综合商场:购物中心,120.32007832,29.15084115,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5639,绍兴镜湖中新广场,浙江省,绍兴市,C,manual_review,镜湖中新广场,浙江省绍兴市越城区灵芝街道洋江西路255号,购物:综合商场,120.58536736,30.05272868,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5647,无锡华侨城运河汇,江苏省,无锡市,C,manual_review,国网无锡梁溪古运河华侨城充电站(运河汇),江苏省无锡市梁溪区塘南路126号华侨城运河汇室外停车场,汽车:加油站:充电站,120.3207858,31.55315429,weak_or_disputed,name_match_medium|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5649,苏州永昌邻里中心,江苏省,苏州市,C,manual_review,永昌邻里中心,江苏省苏州市相城区永昌邻里中心,购物:综合商场:购物中心,120.60939411,31.45171543,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5651,淮安盱眙凤凰广场,江苏省,淮安市,C,manual_review,盱眙凤凰广场,金源北路16号,购物服务;商场;商场,118.51536532,33.00235527,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5654,杭州瓜沥商业中心,浙江省,杭州市,C,manual_review,金迪幸福里商业中心,浙江省杭州市萧山区党山镇为民路80号(瓜沥镇店),购物:综合商场:购物中心,120.51822743,30.16433148,weak_or_disputed,name_match_weak|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5658,南京诚通龙蟠汇,江苏省,南京市,C,manual_review,龙蟠汇,江苏省南京市秦淮区龙蟠中路403号,购物:综合商场:购物中心,118.79630713,32.02368617,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5666,上海凌云壹街坊,上海市,上海市,C,manual_review,凌云1街坊广场,上中西路与龙州路交叉口东北120米,购物服务;购物相关场所;购物相关场所,121.42114575,31.13698017,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5670,张家港恒光国际,江苏省,苏州市,C,manual_review,恒光国际,杨舍镇沙洲西路368号,购物服务;商场;普通商场,120.51297526,31.870306,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5674,苏州中翔广场甪直Mall,江苏省,苏州市,C,manual_review,中翔广场.甪直MALL,江苏省苏州市吴中区甫澄北路1号,购物:综合商场:购物中心,120.85983565,31.28014086,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5690,南通紫琅新天地,江苏省,南通市,C,manual_review,紫琅新天地,崇州大道63号,购物服务;商场;购物中心,120.92897087,31.9629244,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5691,宁波新世界甬宁天地,浙江省,宁波市,C,manual_review,宁波新世界广场,百丈路与镇安街交叉口北200米,商务住宅;楼宇;商住两用楼宇,121.55969172,29.86965967,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5692,上海嘉定TSF,上海市,上海市,C,manual_review,上海TSF购物中心,白银路233号,购物服务;商场;购物中心,121.25885236,31.35461208,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5705,湖州安吉万象世界购物中心,浙江省,湖州市,C,manual_review,安吉万象世界,天荒坪中路489号,购物服务;商场;购物中心|购物服务;商场;普通商场,119.68397793,30.63191973,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5713,上海世博B项目,上海市,上海市,C,manual_review,上海世博天地,上海市浦东新区世博大道1467号,购物:综合商场:购物中心,121.48496768,31.18696814,weak_or_disputed,name_match_weak|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5714,台州路桥凤栖社区保利TOD商业,浙江省,台州市,C,manual_review,凤栖村,浙江省台州市路桥区,地名地址:行政地名,121.32454507,28.57403215,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review; second_review=B/C/D needs map-picked A center
5723,南通圆融嘉悦汇,江苏省,南通市,C,manual_review,圆融嘉悦汇,江苏省南通市崇川区唐闸镇街道普贤路99号(圆融玺悦内),购物:综合商场:购物中心,120.82548292,32.06533221,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5736,嘉兴杭海万朵城,浙江省,嘉兴市,C,manual_review,杭海万朵城,许村镇人民大道2788号,购物服务;商场;普通商场,120.36120891,30.42659863,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5741,南通天元汇广场,江苏省,南通市,C,manual_review,天元汇商业广场,江苏省南通市崇川区陈桥街道集美路五里树公园西侧,购物:综合商场:购物中心,120.79255827,32.09357019,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5744,平阳万洋广场,浙江省,温州市,C,manual_review,万洋广场,浙江省温州市平阳县海泽路a区1栋,购物:综合商场,120.66946229,27.66965646,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5750,温州龙港新鸿世纪广场,浙江省,温州市,C,manual_review,新鸿世纪广场,龙金大道1688号,购物服务;商场;普通商场,120.52674289,27.55819052,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5751,张家港五月花购物广场,江苏省,苏州市,C,manual_review,五月花购物广场,锦丰镇锦店路99号新天地东侧,购物服务;商场;普通商场,120.63332142,31.96225956,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
